City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Namibe,AO,-15.1961,12.1522,70.43,88,0,0.0,clear sky
281,Eyrarbakki,IS,63.863,-21.1481,61.21,88,100,4.21,overcast clouds
282,Menongue,AO,-14.6585,17.691,76.3,19,2,11.34,clear sky
283,Oparino,RU,59.8518,48.2783,64.15,96,90,7.34,overcast clouds
284,Chimoio,MZ,-19.1164,33.4833,66.06,68,75,15.01,broken clouds
285,Togur,RU,58.3631,82.8265,63.68,74,100,12.93,light rain
286,Ulladulla,AU,-35.35,150.4667,65.88,62,1,6.33,clear sky
287,Flin Flon,CA,54.7682,-101.865,52.97,66,0,4.41,clear sky
288,Carballo,ES,43.213,-8.691,67.59,79,53,6.02,broken clouds
289,Srandakan,ID,-7.9386,110.2506,79.27,76,55,14.76,broken clouds
290,Goderich,CA,43.7501,-81.7165,51.91,93,8,2.3,clear sky
291,Lieksa,FI,63.3167,30.0167,64.35,67,44,4.88,scattered clouds
292,Ponazyrevo,RU,58.3578,46.3142,71.46,84,60,8.81,light rain
293,Gimli,CA,50.6336,-96.9907,64.42,77,14,9.22,few clouds
294,Rio Grande,BR,-32.035,-52.0986,47.48,88,0,7.14,clear sky
295,Tynda,RU,55.1667,124.7167,58.33,82,99,4.21,overcast clouds
296,Polyanka,UA,50.2584,27.6881,84.74,44,0,9.86,clear sky
297,Bosobolo,CD,4.1833,19.9,92.03,42,66,4.05,broken clouds
298,Harlingen,US,26.1906,-97.6961,80.98,97,50,6.4,scattered clouds
299,San Ramon,US,37.7799,-121.978,66.6,81,100,5.01,overcast clouds
300,Brasilia,BR,-15.7797,-47.9297,50.92,71,0,3.44,clear sky
301,Velingara,SN,13.15,-14.1167,80.69,79,94,7.23,light rain
302,Edmundston,CA,47.3737,-68.3251,56.12,76,100,14.41,overcast clouds
303,Pa Daet,TH,19.5049,99.9924,92.1,83,100,4.79,overcast clouds
304,Andra,RU,62.5147,65.8878,69.24,39,24,2.17,few clouds
305,Karasjok,NO,69.4719,25.5112,57.31,68,100,6.62,overcast clouds
306,Kavieng,PG,-2.5744,150.7967,82.29,75,82,5.61,broken clouds
307,Camaqua,BR,-30.8511,-51.8122,41.16,96,0,2.57,clear sky
308,Baykit,RU,61.67,96.37,70.97,48,100,3.49,overcast clouds
309,Sokoto,NG,13.0609,5.239,85.14,57,33,11.86,scattered clouds
310,Dingle,PH,10.9995,122.6711,81.82,80,88,11.25,overcast clouds
311,Ust-Nera,RU,64.5667,143.2,62.33,56,79,1.66,broken clouds
312,Mount Gambier,AU,-37.8333,140.7667,48.11,93,75,8.05,broken clouds
313,Katobu,ID,-4.9408,122.5276,76.3,90,77,2.06,moderate rain
314,Labuan,MY,5.2767,115.2417,87.96,74,20,5.99,few clouds
315,Muskegon,US,43.3,-86.1334,56.68,91,2,1.59,clear sky
316,Alakurtti,RU,66.9672,30.3491,58.62,91,100,2.71,overcast clouds
317,Viedma,AR,-40.8135,-62.9967,45.21,74,87,8.61,overcast clouds
318,Coihueco,CL,-36.6167,-71.8333,43.54,100,90,10.36,overcast clouds
319,Tamiahua,MX,21.2667,-97.45,75.65,88,38,4.65,scattered clouds
320,Seredka,RU,58.1584,28.1858,69.55,47,6,11.52,clear sky
321,Bac Lieu,VN,9.285,105.7244,85.5,70,97,12.37,overcast clouds
322,Ordzhonikidze,KZ,52.4411,61.7408,89.58,32,96,7.96,overcast clouds
323,Aregua,PY,-25.3125,-57.3847,42.51,87,0,2.3,clear sky
324,Epe,NG,6.5841,3.9834,82.11,69,76,8.34,light rain
325,Ahipara,NZ,-35.1667,173.1667,57.04,81,100,10.27,overcast clouds
326,Benguela,AO,-12.5763,13.4055,78.53,60,5,7.58,clear sky
327,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,60.53,83,89,8.3,overcast clouds
328,San Cristobal,VE,7.7669,-72.225,63.52,97,86,3.56,overcast clouds
329,Sri Aman,MY,1.2376,111.4621,87.85,70,40,4.61,scattered clouds
330,Lucapa,AO,-8.4192,20.7447,85.59,16,20,9.84,few clouds
331,Jawhar,SO,2.7809,45.5005,88.25,35,80,22.68,broken clouds
332,Scarborough,GB,54.2797,-0.4044,63.84,90,100,1.01,overcast clouds
333,Pleasanton,US,37.6624,-121.8747,67.12,80,96,4.34,overcast clouds
334,Adre,TD,13.4667,22.2,77.41,65,98,8.77,overcast clouds
335,Cheremukhovo,RU,60.3484,59.9851,71.24,50,36,6.4,scattered clouds
336,Brae,GB,60.3964,-1.353,55.31,75,100,15.86,overcast clouds
337,Abong Mbang,CM,3.9833,13.1833,81.45,57,89,4.41,overcast clouds
338,Majdanpek,RS,44.4277,21.946,88.18,27,0,1.95,clear sky
339,Luanda,AO,-8.8368,13.2343,75.2,78,75,3.44,broken clouds
340,Taksimo,RU,56.3444,114.8794,74.01,39,56,3.74,broken clouds
341,Nortelandia,BR,-14.4547,-56.8028,55.13,36,3,0.43,clear sky
342,Biak,ID,-0.9131,122.8766,77.92,85,53,4.63,broken clouds
343,Yandyki,RU,45.7691,47.1258,96.49,14,20,11.41,few clouds
344,Liku,ID,-0.7275,119.8922,79.0,86,23,2.71,few clouds
345,Yar-Sale,RU,66.8333,70.8333,54.12,76,99,14.32,overcast clouds
346,Gidam,IN,18.9833,81.4,78.49,77,99,8.93,overcast clouds
347,Miguel Hidalgo,MX,19.4225,-99.2028,58.42,82,95,1.99,overcast clouds
348,Grand Gaube,MU,-20.0064,57.6608,76.37,63,13,11.01,few clouds
349,San Joaquin,US,37.9333,-121.3011,74.28,58,100,2.71,overcast clouds
350,Lakki Marwat,PK,32.6079,70.9114,98.67,43,93,9.28,overcast clouds
351,Poum,NC,-20.2333,164.0167,69.48,58,5,21.99,clear sky
352,Lavrentiya,RU,65.5833,-171.0,42.87,95,100,11.14,light rain
353,Charqueadas,BR,-29.9547,-51.6253,42.26,94,0,1.28,clear sky
354,Sayansk,RU,54.1088,102.1648,73.18,52,100,6.2,overcast clouds
355,Sept-Iles,CA,50.2001,-66.3821,57.72,97,90,3.44,mist
356,Avera,US,33.194,-82.5271,78.75,89,68,5.44,broken clouds
357,Cuamba,MZ,-14.8031,36.5372,75.54,44,70,6.13,broken clouds
358,Porto Santo,PT,33.072,-16.3415,75.11,78,40,14.97,scattered clouds
359,Mackay,AU,-21.15,149.2,71.04,94,8,4.61,clear sky
360,Ancud,CL,-41.8697,-73.8203,31.53,82,5,4.14,clear sky
361,Russell,US,32.3502,-85.1999,78.08,94,1,0.0,mist
362,Karachi,PK,24.9056,67.0822,87.62,66,75,21.85,haze
363,Najran,SA,17.4924,44.1277,99.25,18,83,9.91,broken clouds
364,Synya,RU,65.3718,58.0387,66.96,38,66,6.35,broken clouds
365,Hami,CN,42.8,93.45,96.6,15,99,4.76,overcast clouds
366,Eyl,SO,7.9803,49.8164,87.19,42,99,24.32,overcast clouds
367,Rawson,AR,-43.3002,-65.1023,40.12,54,0,10.76,clear sky
368,Kaeo,NZ,-35.1,173.7833,59.32,87,100,15.99,overcast clouds
369,Mao,ES,39.8885,4.2658,81.16,69,40,3.44,scattered clouds
370,Leningradskiy,RU,69.3833,178.4167,32.23,89,98,9.71,overcast clouds
371,Akita,JP,39.7167,140.1167,85.14,74,75,2.3,broken clouds
372,Tarko-Sale,RU,64.9225,77.785,62.13,51,90,8.63,overcast clouds
373,Caborca,MX,30.5838,-111.101,78.22,64,17,2.91,few clouds
374,Bichura,RU,50.5881,107.6022,71.64,65,62,2.42,broken clouds
375,Cabedelo,BR,-6.9811,-34.8339,72.27,82,28,13.71,scattered clouds
376,Atkarsk,RU,51.8718,45.0078,83.43,51,96,12.21,overcast clouds
377,Kuryk,KZ,43.2,51.65,88.81,30,0,8.57,clear sky
378,Wilkie,CA,52.4168,-108.7014,55.78,39,7,6.31,light rain
379,Yumen,CN,40.2833,97.2,96.57,12,58,30.18,broken clouds
380,Erdenet,MN,49.0333,104.0833,67.96,59,86,4.52,light rain
381,Chihuahua,MX,28.5,-106.0,66.29,90,100,1.34,overcast clouds
382,Trzebiatow,PL,54.0615,15.2648,77.23,49,36,20.07,scattered clouds
383,Brownsville,US,25.9018,-97.4975,81.01,90,57,1.01,broken clouds
384,Uglegorsk,RU,49.0833,142.0333,63.25,88,100,2.48,overcast clouds
385,Carupano,VE,10.6678,-63.2585,75.74,90,4,5.17,clear sky
386,Te Anau,NZ,-45.4167,167.7167,45.86,97,100,0.6,moderate rain
387,Saint-Pierre,RE,-21.3393,55.4781,77.29,62,0,24.16,clear sky
388,Alofi,NU,-19.0595,-169.9187,78.69,89,49,12.66,light rain
389,Sinnamary,GF,5.3833,-52.95,77.13,86,37,4.47,scattered clouds
